Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Cycling,5/1/2016 12:15,Outdoor,USA,"Fortworkth, TX",Fort Worth Cycling,22.8,788,0:56:47,150,175
Running,5/12/2016 5:38,Outdoor,USA,"Mckinney, TX",McKinney Running,0.75,48,09:06.1,100,148
Running,5/16/2016 8:09,Outdoor,Brazil,"Taubate, SP",Taubate Running,5.62,328,0:53:40,111,177
Running,5/17/2016 8:08,Outdoor,Brazil,"Taubate, SP",Taubate Running,4.82,268,0:54:09,101,127
Running,5/25/2016 5:44,Outdoor,USA,"Frisco, TX",Running,4.02,308,0:33:13,121,156
Cycling,6/11/2016 7:17,Outdoor,USA,"Frisco, TX",Frisco Cycling,60.73,"1,692",2:42:31,145,183
Running,6/13/2016 17:54,Outdoor,USA,"Frisco, TX",Running,4.06,287,0:33:32,125,185
Running,6/25/2016 10:07,Outdoor,USA,"Frisco, TX",Running,1.04,109,08:29.1,155,180
Running,7/5/2016 7:45,Outdoor,USA,"Frisco, TX",Running,3.54,289,0:29:11,131,165
Cycling,7/21/2016 18:37,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.63,"2,883",1:49:23,168,194
Cycling,8/6/2016 7:37,Outdoor,USA,"Frisco, TX",Frisco Cycling,59.78,"2,060",2:08:47,167,194
Cycling,9/21/2016 8:43,Outdoor,USA,"Mckinney, TX",McKinney Cycling,21.8,925,1:14:05,147,165
Cycling,9/22/2016 8:31,Outdoor,USA,"Mckinney, TX",McKinney Cycling,25.49,620,1:17:52,122,148
